    1     1  
    4     1  
   10     1  
   19     1  
   30     1  
   48     1  
   62     1  
   75     1  
   86     1  
   98     1  
  111     1  

    1     2  
    2     2  
    3     2  
    6     2  
    9     2  
   14     2  
   17     2  
   24     2  
   29     2  
   37     2  
   44     2  

   44     3  
   46     3  
   52     3  
   58     3  
   66     3  
   73     3  
   83     3  
   92     3  
  102     3  
  110     3  
  121     3  

  111     4  
  112     4  
  113     4  
  114     4  
  115     4  
  116     4  
  117     4  
  118     4  
  119     4  
  120     4  
  121     4  








